userId,n_interactions,bin
141,23,"(20.0, 23.0]"
151,265,"(188.0, 265.0]"
179,26,"(23.0, 28.0]"
481,40,"(33.0, 40.0]"
488,25,"(23.0, 28.0]"
545,96,"(88.0, 110.0]"
1585,133,"(110.0, 140.0]"
1900,82,"(71.0, 88.0]"
2258,50,"(48.0, 58.0]"
2305,27,"(23.0, 28.0]"
2574,44,"(40.0, 48.0]"
3589,61,"(58.0, 71.0]"
3886,104,"(88.0, 110.0]"
4095,1299,"(436.0, 18230.0]"
4180,17,"(16.0, 18.0]"
4241,34,"(33.0, 40.0]"
5159,15,"(12.0, 15.0]"
5205,21,"(20.0, 23.0]"
6583,853,"(436.0, 18230.0]"
7395,48,"(40.0, 48.0]"
8696,33,"(28.0, 33.0]"
8778,20,"(18.0, 20.0]"
9487,47,"(40.0, 48.0]"
9516,25,"(23.0, 28.0]"
10059,206,"(188.0, 265.0]"
11481,27,"(23.0, 28.0]"
11527,156,"(140.0, 188.0]"
11812,66,"(58.0, 71.0]"
12745,39,"(33.0, 40.0]"
13006,19,"(18.0, 20.0]"
13052,65,"(58.0, 71.0]"
13229,15,"(12.0, 15.0]"
13440,180,"(140.0, 188.0]"
13638,52,"(48.0, 58.0]"
13744,57,"(48.0, 58.0]"
13763,845,"(436.0, 18230.0]"
13897,28,"(23.0, 28.0]"
14228,45,"(40.0, 48.0]"
14259,250,"(188.0, 265.0]"
14347,1066,"(436.0, 18230.0]"
16288,110,"(88.0, 110.0]"
16891,15,"(12.0, 15.0]"
17756,85,"(71.0, 88.0]"
17903,57,"(48.0, 58.0]"
18143,207,"(188.0, 265.0]"
18255,66,"(58.0, 71.0]"
18691,14,"(12.0, 15.0]"
19923,12,"(9.999, 12.0]"
21077,60,"(58.0, 71.0]"
22954,15,"(12.0, 15.0]"
23702,61,"(58.0, 71.0]"
25274,15,"(12.0, 15.0]"
25557,11,"(9.999, 12.0]"
25758,15,"(12.0, 15.0]"
26156,65,"(58.0, 71.0]"
26962,18,"(16.0, 18.0]"
27130,15,"(12.0, 15.0]"
27142,202,"(188.0, 265.0]"
27544,55,"(48.0, 58.0]"
27589,188,"(140.0, 188.0]"
27834,166,"(140.0, 188.0]"
28409,18,"(16.0, 18.0]"
29054,10,"(9.999, 12.0]"
29409,141,"(140.0, 188.0]"
30390,1125,"(436.0, 18230.0]"
31309,40,"(33.0, 40.0]"
31568,54,"(48.0, 58.0]"
31629,87,"(71.0, 88.0]"
31962,105,"(88.0, 110.0]"
32226,111,"(110.0, 140.0]"
33959,15,"(12.0, 15.0]"
34388,336,"(265.0, 436.0]"
34482,15,"(12.0, 15.0]"
35578,269,"(265.0, 436.0]"
36251,83,"(71.0, 88.0]"
36455,16,"(15.0, 16.0]"
37108,79,"(71.0, 88.0]"
37439,69,"(58.0, 71.0]"
38459,308,"(265.0, 436.0]"
38750,65,"(58.0, 71.0]"
38907,18,"(16.0, 18.0]"
38997,693,"(436.0, 18230.0]"
40206,115,"(110.0, 140.0]"
40416,16,"(15.0, 16.0]"
41125,246,"(188.0, 265.0]"
41325,1495,"(436.0, 18230.0]"
41336,26,"(23.0, 28.0]"
41450,37,"(33.0, 40.0]"
42451,17,"(16.0, 18.0]"
42536,16,"(15.0, 16.0]"
42897,17,"(16.0, 18.0]"
42966,313,"(265.0, 436.0]"
43030,44,"(40.0, 48.0]"
43055,63,"(58.0, 71.0]"
43129,10,"(9.999, 12.0]"
43341,25,"(23.0, 28.0]"
43478,19,"(18.0, 20.0]"
44756,174,"(140.0, 188.0]"
45861,100,"(88.0, 110.0]"
46087,209,"(188.0, 265.0]"
46272,130,"(110.0, 140.0]"
48244,310,"(265.0, 436.0]"
48607,78,"(71.0, 88.0]"
48762,138,"(110.0, 140.0]"
49227,93,"(88.0, 110.0]"
49458,19,"(18.0, 20.0]"
49497,32,"(28.0, 33.0]"
50110,11,"(9.999, 12.0]"
50537,226,"(188.0, 265.0]"
50554,102,"(88.0, 110.0]"
51030,31,"(28.0, 33.0]"
51305,15,"(12.0, 15.0]"
51423,90,"(88.0, 110.0]"
51591,10,"(9.999, 12.0]"
51807,35,"(33.0, 40.0]"
52030,15,"(12.0, 15.0]"
52209,11,"(9.999, 12.0]"
52327,258,"(188.0, 265.0]"
53593,16,"(15.0, 16.0]"
54625,376,"(265.0, 436.0]"
56299,10,"(9.999, 12.0]"
56413,13,"(12.0, 15.0]"
56496,19,"(18.0, 20.0]"
57096,31,"(28.0, 33.0]"
57604,36,"(33.0, 40.0]"
57735,40,"(33.0, 40.0]"
57813,15,"(12.0, 15.0]"
57999,121,"(110.0, 140.0]"
58073,21,"(20.0, 23.0]"
58371,851,"(436.0, 18230.0]"
58734,128,"(110.0, 140.0]"
59458,37,"(33.0, 40.0]"
59612,72,"(71.0, 88.0]"
60030,22,"(20.0, 23.0]"
60214,17,"(16.0, 18.0]"
60483,325,"(265.0, 436.0]"
63566,371,"(265.0, 436.0]"
64606,438,"(436.0, 18230.0]"
64720,166,"(140.0, 188.0]"
64804,48,"(40.0, 48.0]"
64839,162,"(140.0, 188.0]"
65197,22,"(20.0, 23.0]"
65680,120,"(110.0, 140.0]"
65929,17,"(16.0, 18.0]"
66445,15,"(12.0, 15.0]"
67758,23,"(20.0, 23.0]"
68479,31,"(28.0, 33.0]"
68670,63,"(58.0, 71.0]"
69572,71,"(58.0, 71.0]"
70111,19,"(18.0, 20.0]"
71912,607,"(436.0, 18230.0]"
72026,24,"(23.0, 28.0]"
72148,19,"(18.0, 20.0]"
72259,396,"(265.0, 436.0]"
73261,234,"(188.0, 265.0]"
73496,771,"(436.0, 18230.0]"
73951,99,"(88.0, 110.0]"
74151,15,"(12.0, 15.0]"
74528,37,"(33.0, 40.0]"
74670,10,"(9.999, 12.0]"
74929,64,"(58.0, 71.0]"
75961,16,"(15.0, 16.0]"
77286,181,"(140.0, 188.0]"
77437,532,"(436.0, 18230.0]"
78749,117,"(110.0, 140.0]"
79433,174,"(140.0, 188.0]"
79687,207,"(188.0, 265.0]"
80710,67,"(58.0, 71.0]"
80931,29,"(28.0, 33.0]"
81787,21,"(20.0, 23.0]"
81901,31,"(28.0, 33.0]"
82327,39,"(33.0, 40.0]"
82456,162,"(140.0, 188.0]"
83347,17,"(16.0, 18.0]"
83377,24,"(23.0, 28.0]"
84803,50,"(48.0, 58.0]"
86312,68,"(58.0, 71.0]"
87143,16,"(15.0, 16.0]"
87566,15,"(12.0, 15.0]"
87862,15,"(12.0, 15.0]"
88411,17,"(16.0, 18.0]"
88759,34,"(33.0, 40.0]"
88781,385,"(265.0, 436.0]"
88846,22,"(20.0, 23.0]"
89868,36,"(33.0, 40.0]"
92428,147,"(140.0, 188.0]"
92970,201,"(188.0, 265.0]"
93509,25,"(23.0, 28.0]"
93655,211,"(188.0, 265.0]"
94540,31,"(28.0, 33.0]"
95382,555,"(436.0, 18230.0]"
95847,39,"(33.0, 40.0]"
96331,10,"(9.999, 12.0]"
96468,68,"(58.0, 71.0]"
96479,197,"(188.0, 265.0]"
96730,17,"(16.0, 18.0]"
98000,29,"(28.0, 33.0]"
98213,99,"(88.0, 110.0]"
98258,90,"(88.0, 110.0]"
98503,23,"(20.0, 23.0]"
99094,153,"(140.0, 188.0]"
99881,20,"(18.0, 20.0]"
100547,47,"(40.0, 48.0]"
100780,37,"(33.0, 40.0]"
100885,210,"(188.0, 265.0]"
101302,41,"(40.0, 48.0]"
101780,44,"(40.0, 48.0]"
101876,58,"(48.0, 58.0]"
102917,17,"(16.0, 18.0]"
103381,13,"(12.0, 15.0]"
103843,16,"(15.0, 16.0]"
104070,30,"(28.0, 33.0]"
104297,15,"(12.0, 15.0]"
104316,19,"(18.0, 20.0]"
104582,48,"(40.0, 48.0]"
105026,10,"(9.999, 12.0]"
106185,15,"(12.0, 15.0]"
107061,25,"(23.0, 28.0]"
107098,24,"(23.0, 28.0]"
107139,69,"(58.0, 71.0]"
107170,17,"(16.0, 18.0]"
107420,27,"(23.0, 28.0]"
107721,75,"(71.0, 88.0]"
107922,16,"(15.0, 16.0]"
107984,428,"(265.0, 436.0]"
108145,210,"(188.0, 265.0]"
108891,95,"(88.0, 110.0]"
113325,32,"(28.0, 33.0]"
113726,84,"(71.0, 88.0]"
114564,17,"(16.0, 18.0]"
114711,15,"(12.0, 15.0]"
114818,23,"(20.0, 23.0]"
115105,12,"(9.999, 12.0]"
115325,138,"(110.0, 140.0]"
115539,118,"(110.0, 140.0]"
116363,1541,"(436.0, 18230.0]"
116898,16,"(15.0, 16.0]"
116934,239,"(188.0, 265.0]"
117073,16,"(15.0, 16.0]"
117471,20,"(18.0, 20.0]"
117591,14,"(12.0, 15.0]"
118217,276,"(265.0, 436.0]"
118656,65,"(58.0, 71.0]"
120994,15,"(12.0, 15.0]"
121924,54,"(48.0, 58.0]"
123015,48,"(40.0, 48.0]"
123125,15,"(12.0, 15.0]"
123850,338,"(265.0, 436.0]"
124051,533,"(436.0, 18230.0]"
124226,17,"(16.0, 18.0]"
124678,46,"(40.0, 48.0]"
126005,86,"(71.0, 88.0]"
126393,15,"(12.0, 15.0]"
127107,33,"(28.0, 33.0]"
127253,26,"(23.0, 28.0]"
128626,113,"(110.0, 140.0]"
128929,95,"(88.0, 110.0]"
129104,15,"(12.0, 15.0]"
130310,10,"(9.999, 12.0]"
130874,435,"(265.0, 436.0]"
131849,16,"(15.0, 16.0]"
132171,76,"(71.0, 88.0]"
132871,55,"(48.0, 58.0]"
132915,324,"(265.0, 436.0]"
133224,48,"(40.0, 48.0]"
133583,53,"(48.0, 58.0]"
133818,56,"(48.0, 58.0]"
134447,44,"(40.0, 48.0]"
134663,40,"(33.0, 40.0]"
134737,31,"(28.0, 33.0]"
134904,18,"(16.0, 18.0]"
136472,127,"(110.0, 140.0]"
136677,13,"(12.0, 15.0]"
137362,495,"(436.0, 18230.0]"
137789,15,"(12.0, 15.0]"
138181,490,"(436.0, 18230.0]"
140006,79,"(71.0, 88.0]"
140865,17,"(16.0, 18.0]"
141006,128,"(110.0, 140.0]"
141529,37,"(33.0, 40.0]"
143607,44,"(40.0, 48.0]"
144317,514,"(436.0, 18230.0]"
144594,651,"(436.0, 18230.0]"
145043,12,"(9.999, 12.0]"
146402,17,"(16.0, 18.0]"
146574,17,"(16.0, 18.0]"
146823,66,"(58.0, 71.0]"
147488,119,"(110.0, 140.0]"
148095,51,"(48.0, 58.0]"
148197,254,"(188.0, 265.0]"
148958,52,"(48.0, 58.0]"
150842,107,"(88.0, 110.0]"
151503,232,"(188.0, 265.0]"
152293,36,"(33.0, 40.0]"
152746,385,"(265.0, 436.0]"
152769,40,"(33.0, 40.0]"
152806,647,"(436.0, 18230.0]"
153192,16,"(15.0, 16.0]"
153299,45,"(40.0, 48.0]"
153723,15,"(12.0, 15.0]"
153761,96,"(88.0, 110.0]"
155028,30,"(28.0, 33.0]"
156037,148,"(140.0, 188.0]"
156954,32,"(28.0, 33.0]"
157876,16,"(15.0, 16.0]"
158033,26,"(23.0, 28.0]"
158418,79,"(71.0, 88.0]"
158819,20,"(18.0, 20.0]"
159683,10,"(9.999, 12.0]"
159879,15,"(12.0, 15.0]"
160499,52,"(48.0, 58.0]"
160714,41,"(40.0, 48.0]"
161005,60,"(58.0, 71.0]"
161209,51,"(48.0, 58.0]"
161350,41,"(40.0, 48.0]"
163113,10,"(9.999, 12.0]"
163693,29,"(28.0, 33.0]"
164937,668,"(436.0, 18230.0]"
165008,77,"(71.0, 88.0]"
165320,33,"(28.0, 33.0]"
165741,28,"(23.0, 28.0]"
166032,17,"(16.0, 18.0]"
166320,42,"(40.0, 48.0]"
166519,15,"(12.0, 15.0]"
167513,155,"(140.0, 188.0]"
167514,11,"(9.999, 12.0]"
168031,20,"(18.0, 20.0]"
168723,11,"(9.999, 12.0]"
168900,52,"(48.0, 58.0]"
170380,55,"(48.0, 58.0]"
170671,48,"(40.0, 48.0]"
171006,18,"(16.0, 18.0]"
171616,21,"(20.0, 23.0]"
171661,19,"(18.0, 20.0]"
172426,47,"(40.0, 48.0]"
173502,66,"(58.0, 71.0]"
174429,139,"(110.0, 140.0]"
174957,27,"(23.0, 28.0]"
175337,33,"(28.0, 33.0]"
175364,12,"(9.999, 12.0]"
176806,27,"(23.0, 28.0]"
177442,36,"(33.0, 40.0]"
177635,60,"(58.0, 71.0]"
178619,76,"(71.0, 88.0]"
178748,55,"(48.0, 58.0]"
178933,182,"(140.0, 188.0]"
180453,24,"(23.0, 28.0]"
180733,265,"(188.0, 265.0]"
181650,32,"(28.0, 33.0]"
183753,15,"(12.0, 15.0]"
183847,40,"(33.0, 40.0]"
184285,101,"(88.0, 110.0]"
185239,205,"(188.0, 265.0]"
186369,17,"(16.0, 18.0]"
186430,13,"(12.0, 15.0]"
187347,93,"(88.0, 110.0]"
187974,84,"(71.0, 88.0]"
189526,362,"(265.0, 436.0]"
189702,162,"(140.0, 188.0]"
189918,86,"(71.0, 88.0]"
190248,11,"(9.999, 12.0]"
190484,14,"(12.0, 15.0]"
190645,26,"(23.0, 28.0]"
191833,20,"(18.0, 20.0]"
193789,15,"(12.0, 15.0]"
193934,16,"(15.0, 16.0]"
194156,50,"(48.0, 58.0]"
194695,16,"(15.0, 16.0]"
194976,16,"(15.0, 16.0]"
196246,88,"(71.0, 88.0]"
196336,22,"(20.0, 23.0]"
197617,15,"(12.0, 15.0]"
198287,15,"(12.0, 15.0]"
199843,296,"(265.0, 436.0]"
199937,1532,"(436.0, 18230.0]"
199977,67,"(58.0, 71.0]"
200919,27,"(23.0, 28.0]"
201639,17,"(16.0, 18.0]"
202503,16,"(15.0, 16.0]"
202592,22,"(20.0, 23.0]"
203591,10,"(9.999, 12.0]"
203875,15,"(12.0, 15.0]"
204491,69,"(58.0, 71.0]"
204829,23,"(20.0, 23.0]"
205184,15,"(12.0, 15.0]"
205574,28,"(23.0, 28.0]"
206315,77,"(71.0, 88.0]"
206911,45,"(40.0, 48.0]"
207235,27,"(23.0, 28.0]"
208545,54,"(48.0, 58.0]"
208686,126,"(110.0, 140.0]"
208898,351,"(265.0, 436.0]"
209024,75,"(71.0, 88.0]"
209477,15,"(12.0, 15.0]"
209756,181,"(140.0, 188.0]"
210125,10,"(9.999, 12.0]"
210136,12,"(9.999, 12.0]"
211435,152,"(140.0, 188.0]"
212225,89,"(88.0, 110.0]"
212625,261,"(188.0, 265.0]"
212772,74,"(71.0, 88.0]"
212993,16,"(15.0, 16.0]"
213243,179,"(140.0, 188.0]"
213921,19,"(18.0, 20.0]"
216144,11,"(9.999, 12.0]"
216255,84,"(71.0, 88.0]"
216374,18,"(16.0, 18.0]"
216676,103,"(88.0, 110.0]"
216752,29,"(28.0, 33.0]"
217283,104,"(88.0, 110.0]"
217695,32,"(28.0, 33.0]"
218342,56,"(48.0, 58.0]"
218379,31,"(28.0, 33.0]"
219046,280,"(265.0, 436.0]"
219541,93,"(88.0, 110.0]"
219660,143,"(140.0, 188.0]"
220840,154,"(140.0, 188.0]"
221082,27,"(23.0, 28.0]"
223480,19,"(18.0, 20.0]"
223949,268,"(265.0, 436.0]"
224792,40,"(33.0, 40.0]"
224844,13,"(12.0, 15.0]"
225029,608,"(436.0, 18230.0]"
225869,28,"(23.0, 28.0]"
226047,121,"(110.0, 140.0]"
226425,69,"(58.0, 71.0]"
227516,132,"(110.0, 140.0]"
227676,19,"(18.0, 20.0]"
228200,18,"(16.0, 18.0]"
229207,216,"(188.0, 265.0]"
229336,29,"(28.0, 33.0]"
229443,152,"(140.0, 188.0]"
230102,52,"(48.0, 58.0]"
230666,56,"(48.0, 58.0]"
231715,361,"(265.0, 436.0]"
232160,15,"(12.0, 15.0]"
233797,35,"(33.0, 40.0]"
234229,11,"(9.999, 12.0]"
235684,15,"(12.0, 15.0]"
235766,114,"(110.0, 140.0]"
236583,19,"(18.0, 20.0]"
239572,22,"(20.0, 23.0]"
240203,10,"(9.999, 12.0]"
240808,42,"(40.0, 48.0]"
240863,10,"(9.999, 12.0]"
242236,18,"(16.0, 18.0]"
242798,23,"(20.0, 23.0]"
243176,135,"(110.0, 140.0]"
243874,82,"(71.0, 88.0]"
244092,16,"(15.0, 16.0]"
244954,15,"(12.0, 15.0]"
245148,102,"(88.0, 110.0]"
245980,370,"(265.0, 436.0]"
246019,133,"(110.0, 140.0]"
246036,10,"(9.999, 12.0]"
246634,15,"(12.0, 15.0]"
246687,24,"(23.0, 28.0]"
247107,16,"(15.0, 16.0]"
248984,794,"(436.0, 18230.0]"
249297,38,"(33.0, 40.0]"
249903,12,"(9.999, 12.0]"
249938,103,"(88.0, 110.0]"
250586,15,"(12.0, 15.0]"
250593,19,"(18.0, 20.0]"
250722,40,"(33.0, 40.0]"
251785,219,"(188.0, 265.0]"
251931,134,"(110.0, 140.0]"
252697,14,"(12.0, 15.0]"
252807,406,"(265.0, 436.0]"
253973,165,"(140.0, 188.0]"
254035,751,"(436.0, 18230.0]"
255340,15,"(12.0, 15.0]"
256493,18,"(16.0, 18.0]"
257017,410,"(265.0, 436.0]"
257368,16,"(15.0, 16.0]"
257370,96,"(88.0, 110.0]"
257402,23,"(20.0, 23.0]"
257995,15,"(12.0, 15.0]"
259307,143,"(140.0, 188.0]"
259651,14,"(12.0, 15.0]"
260519,49,"(48.0, 58.0]"
260844,194,"(188.0, 265.0]"
260899,11,"(9.999, 12.0]"
261669,11,"(9.999, 12.0]"
261885,11,"(9.999, 12.0]"
262612,19,"(18.0, 20.0]"
262815,122,"(110.0, 140.0]"
263564,79,"(71.0, 88.0]"
263665,23,"(20.0, 23.0]"
264080,40,"(33.0, 40.0]"
264566,25,"(23.0, 28.0]"
264916,89,"(88.0, 110.0]"
265212,23,"(20.0, 23.0]"
267284,15,"(12.0, 15.0]"
267903,21,"(20.0, 23.0]"
269172,15,"(12.0, 15.0]"
269242,103,"(88.0, 110.0]"
269418,23,"(20.0, 23.0]"
270212,15,"(12.0, 15.0]"
270805,15,"(12.0, 15.0]"
